ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Customer_Tenure_Days,Total_Spend,Total_Purchases,Children,Age_Band,Income_Band,High_Income,Young_Customer,Campaign_Responder,High_Web_Engagement,Family_Customer,High_Spender,High_Value_Customer,Underserved_Customer
923176,1965,Master,Together,104661.2,0,1,2014-05-28,30,1493,10,348,179,5,74,4,3,2,6,8,0,0,0,0,0,0,0,Germany,49,32,2109,15,1,46-60,Very High,1,0,0,1,1,1,1,0
9974730,1952,Master,Married,105437.3,0,0,2013-11-11,19,483,0,752,144,6,30,3,6,6,4,7,0,1,0,0,0,1,0,Australia,62,230,1415,19,0,60+,Very High,1,0,1,1,0,0,1,0
2275327,1966,PhD,Single,103586.0,0,0,2013-04-11,57,805,13,647,40,15,47,1,0,6,6,3,0,0,0,0,0,1,0,Spain,48,444,1567,13,0,46-60,Very High,1,0,1,0,0,1,1,0
13912972,1960,Graduation,Married,90351.9,0,0,2013-01-17,99,368,0,1152,14,169,20,1,5,5,5,6,1,0,0,0,0,1,0,Canada,54,528,1723,16,0,46-60,Very High,1,0,1,1,0,1,1,0
9754902,1956,Master,Married,65172.4,0,0,2014-06-25,76,480,0,1142,229,3,5,3,4,3,3,8,0,0,0,1,0,0,0,Spain,58,4,1859,13,0,46-60,High,0,0,0,1,0,1,1,0
6167587,1966,Graduation,Together,105043.4,1,0,2013-03-23,99,356,0,1073,5,22,269,1,3,11,5,0,0,0,0,0,0,0,0,USA,48,463,1725,20,1,46-60,Very High,1,0,0,0,1,1,1,0
15145895,1982,PhD,Divorced,92441.0,0,1,2013-01-02,93,82,46,405,114,0,9,4,4,3,9,7,0,0,0,0,0,1,0,India,32,543,656,20,1,30-45,Very High,1,0,1,1,1,0,1,0
3620143,1987,Master,Together,107197.9,0,0,2013-09-20,41,420,174,1015,42,66,21,1,4,4,4,5,0,0,0,0,0,0,0,Australia,27,282,1738,13,0,Under 30,Very High,1,1,0,0,0,1,1,0
16438440,1983,PhD,Together,99387.4,1,0,2012-08-18,17,91,28,1225,211,5,16,1,3,6,7,0,0,0,0,1,0,0,0,Canada,31,680,1576,17,1,30-45,Very High,1,0,0,0,1,1,1,0
12284547,1969,PhD,Widow,97141.3,0,2,2013-02-06,0,0,12,66,174,16,83,1,5,14,12,2,0,0,0,0,0,1,0,Canada,45,508,351,32,2,30-45,Very High,1,0,1,0,1,0,1,0
9510493,1978,PhD,Divorced,90694.8,2,0,2014-06-04,14,516,0,370,177,3,62,1,1,1,3,8,0,0,0,0,0,1,0,India,36,25,1128,6,2,30-45,Very High,1,0,1,1,1,0,1,0
6602036,1962,Graduation,Single,93759.1,0,1,2014-01-04,27,164,0,227,14,38,81,3,3,1,8,7,0,0,0,0,0,1,0,Saudi Arabia,52,176,524,15,1,46-60,Very High,1,0,1,1,1,0,1,0
15452824,1995,PhD,Single,93350.4,0,0,2013-07-01,75,1493,0,574,100,140,210,2,3,3,8,8,0,0,0,1,0,1,0,India,19,363,2517,16,0,Under 30,Very High,1,1,1,1,0,1,1,0
14983459,1989,Master,Married,91212.5,1,1,2013-08-02,89,61,6,361,88,3,0,1,6,2,5,8,0,0,0,0,0,1,0,Canada,25,331,519,14,2,Under 30,Very High,1,1,1,1,1,0,1,0
15154878,1978,Graduation,YOLO,99895.3,0,0,2012-12-06,68,270,0,39,25,73,11,3,12,1,6,3,1,0,0,0,0,1,0,Germany,36,570,418,22,0,30-45,Very High,1,0,1,0,0,0,1,0
82023,1974,Graduation,Single,110837.1,0,0,2013-09-25,25,790,10,679,219,46,19,1,5,5,12,7,0,0,0,0,0,1,0,Australia,40,277,1763,23,0,30-45,Very High,1,0,1,1,0,1,1,0
11834004,1979,Graduation,Together,90054.8,0,1,2013-01-22,99,93,55,391,75,208,19,1,4,5,9,4,0,0,0,0,0,1,1,USA,35,523,841,19,1,30-45,Very High,1,0,1,0,1,0,1,0
15304690,1957,Graduation,Divorced,79149.7,0,0,2014-05-05,60,1123,0,695,91,7,109,1,9,2,4,8,1,0,0,0,0,0,0,India,57,55,2025,16,0,46-60,High,1,0,0,1,0,1,1,0
12308701,1973,Graduation,Widow,71879.5,0,0,2013-05-29,77,501,89,1066,24,47,61,1,7,1,1,6,0,0,0,0,0,0,0,Saudi Arabia,41,396,1788,10,0,30-45,High,0,0,0,1,0,1,1,0
