ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country,Age,Customer_Tenure_Days,Total_Spend,Total_Purchases,Children,Age_Band,Income_Band,High_Income,Young_Customer,Campaign_Responder,High_Web_Engagement,Family_Customer,High_Spender,High_Value_Customer,Underserved_Customer
15815139,1981,Graduation,Divorced,52784.2,1,1,2014-05-20,0,30,3,55,242,0,0,1,3,2,3,6,0,0,0,0,0,0,0,Canada,33,40,330,9,2,30-45,Medium,0,0,0,1,1,0,0,1
13780787,1940,PhD,Divorced,69746.9,1,1,2012-08-21,72,17,0,51,37,0,3,6,1,0,5,6,0,0,0,0,0,0,0,Saudi Arabia,74,677,108,12,2,60+,High,0,0,0,1,1,0,0,1
2968257,1977,PhD,Together,1730.0,1,0,2014-03-28,99,13,0,43,0,2,10,3,7,0,4,7,0,0,0,0,0,0,0,India,37,93,68,14,1,30-45,Low,0,0,0,1,1,0,0,1
7322177,1965,PhD,Single,1730.0,0,0,2012-12-27,99,0,0,110,0,0,0,1,2,3,2,7,0,0,0,0,0,0,0,Spain,49,549,110,8,0,46-60,Low,0,0,0,1,0,0,0,1
9006929,1984,Basic,Single,33032.9,1,1,2012-12-22,99,40,0,52,4,0,16,3,4,1,1,8,0,0,0,0,0,0,0,Spain,30,554,112,9,2,30-45,Medium,0,0,0,1,1,0,0,1
10295988,1995,PhD,Together,1730.0,1,1,2014-06-29,33,0,0,42,0,0,0,3,1,0,0,8,0,0,0,0,0,0,0,India,19,0,42,4,2,Under 30,Low,0,1,0,1,1,0,0,1
7142362,1984,Master,Married,14761.9,0,0,2014-06-20,96,44,0,62,0,3,22,1,3,2,3,8,0,0,0,0,0,0,0,Australia,30,9,131,9,0,30-45,Low,0,0,0,1,0,0,0,1
622010,1964,Master,Together,21109.4,1,0,2014-05-07,80,0,0,42,2,0,3,3,3,1,3,7,0,0,0,0,0,0,0,Spain,50,53,47,10,1,46-60,Low,0,0,0,1,1,0,0,1
11796404,1987,PhD,Alone,24586.5,1,0,2013-08-16,59,36,0,18,0,0,0,4,1,1,3,7,0,0,0,0,0,0,0,Saudi Arabia,27,317,54,9,1,Under 30,Low,0,1,0,1,1,0,0,1
4842847,1977,2n Cycle,Together,1730.0,1,0,2012-10-20,96,0,0,53,2,0,0,1,3,1,3,6,0,0,0,0,0,0,0,Canada,37,617,55,8,1,30-45,Low,0,0,0,1,1,0,0,1
5576961,1958,PhD,Divorced,18727.7,1,0,2013-02-08,91,34,5,226,44,1,0,1,7,2,4,6,0,0,0,0,0,0,0,Canada,56,506,310,14,1,46-60,Low,0,0,0,1,1,0,0,1
14959473,1980,2n Cycle,Married,4537.8,1,0,2014-03-31,55,0,0,16,0,0,0,2,2,1,2,6,0,0,0,0,0,0,0,Saudi Arabia,34,90,16,7,1,30-45,Low,0,0,0,1,1,0,0,1
7119290,1988,Basic,Single,10340.2,1,1,2012-11-10,91,0,0,24,8,0,0,1,4,0,7,10,0,0,0,0,0,0,0,Spain,26,596,32,12,2,Under 30,Low,0,1,0,1,1,0,0,1
1917384,1970,Master,Married,53161.0,1,0,2014-03-05,96,78,0,54,55,4,0,1,2,1,6,6,0,0,0,0,0,0,0,Australia,44,116,191,10,1,30-45,Medium,0,0,0,1,1,0,0,1
1135566,1971,PhD,Together,1730.0,1,1,2014-01-14,32,0,0,47,7,0,14,3,6,0,2,8,0,0,0,0,0,0,0,Saudi Arabia,43,166,68,11,2,30-45,Low,0,0,0,1,1,0,0,1
12115466,1984,Basic,Married,1730.0,1,1,2014-01-18,71,0,0,9,2,0,0,3,1,0,3,8,0,0,0,0,0,0,0,Spain,30,162,11,7,2,30-45,Low,0,0,0,1,1,0,0,1
2100210,1987,Graduation,Widow,28821.2,1,0,2014-01-28,99,0,0,59,14,0,0,2,4,1,5,7,0,0,0,0,0,0,0,India,27,152,73,12,1,Under 30,Low,0,1,0,1,1,0,0,1
11755920,1986,2n Cycle,Married,1730.0,1,0,2013-05-26,64,0,0,49,7,0,9,3,2,0,3,7,0,0,0,0,0,0,0,Spain,28,399,65,8,1,Under 30,Low,0,1,0,1,1,0,0,1
7248294,1973,Graduation,Married,1730.0,1,0,2014-03-15,99,0,0,0,0,135,7,1,2,1,5,8,0,1,0,0,0,0,0,Canada,41,106,142,9,1,30-45,Low,0,0,0,1,1,0,0,1
12933809,1958,Basic,Married,12631.3,1,1,2014-01-01,14,0,108,45,25,66,45,1,2,2,5,6,0,0,0,0,0,0,0,Spain,56,179,289,10,2,46-60,Low,0,0,0,1,1,0,0,1
2924623,1965,PhD,Married,24683.2,1,1,2013-12-11,99,16,3,37,0,0,112,1,4,0,6,8,0,0,0,0,0,0,0,Saudi Arabia,49,200,168,11,2,46-60,Low,0,0,0,1,1,0,0,1
9860620,1978,Graduation,Divorced,36236.5,0,0,2012-11-09,16,0,0,45,13,6,47,3,2,0,1,8,0,0,0,0,0,0,0,Spain,36,597,111,6,0,30-45,Medium,0,0,0,1,0,0,0,1
11422224,1987,PhD,Married,99488.4,0,0,2012-07-30,47,35,0,211,10,7,0,1,2,2,7,6,0,0,0,0,0,0,0,Saudi Arabia,27,699,263,12,0,Under 30,Very High,1,1,0,1,0,0,0,1
7268453,1967,PhD,Single,1730.0,1,0,2013-07-29,99,0,0,39,0,0,8,3,1,0,3,8,0,0,0,0,0,0,0,Spain,47,335,47,7,1,46-60,Low,0,0,0,1,1,0,0,1
12508848,1979,Graduation,YOLO,38663.3,1,0,2013-09-16,83,118,92,25,9,4,13,2,2,1,10,6,0,0,0,0,0,0,0,Saudi Arabia,35,286,261,15,1,30-45,Medium,0,0,0,1,1,0,0,1
13701816,1976,Master,Divorced,59534.7,2,0,2012-07-30,99,8,21,23,10,3,93,3,4,7,3,7,0,0,0,1,0,0,0,Australia,38,699,158,17,2,30-45,Medium,0,0,0,1,1,0,0,1
3699727,1962,Master,Single,67125.1,0,1,2014-04-27,23,67,5,196,0,6,16,3,4,0,3,7,1,0,0,0,0,0,0,Saudi Arabia,52,63,290,10,1,46-60,High,0,0,0,1,1,0,0,1
2693323,1976,Graduation,Divorced,15968.0,0,0,2014-05-29,50,54,0,6,16,4,6,1,6,0,5,8,0,0,0,0,0,0,0,Spain,38,31,86,12,0,30-45,Low,0,0,0,1,0,0,0,1
6944787,1986,Basic,Together,1730.0,1,1,2014-06-29,99,0,0,29,0,0,0,2,0,1,1,7,0,0,0,0,0,0,0,Canada,28,0,29,4,2,Under 30,Low,0,1,0,1,1,0,0,1
11665366,1980,2n Cycle,Together,1730.0,1,1,2014-06-05,99,43,0,3,0,0,0,4,2,0,0,7,0,0,0,0,0,0,0,Spain,34,24,46,6,2,30-45,Low,0,0,0,1,1,0,0,1
12571366,1984,Master,Together,1730.0,1,1,2014-03-23,62,26,0,21,3,0,0,1,2,0,4,8,0,0,0,0,0,0,0,India,30,98,50,7,2,30-45,Low,0,0,0,1,1,0,0,1
10690550,1969,PhD,Widow,8646.6,1,1,2014-02-26,28,0,0,57,4,0,5,1,0,0,0,8,0,0,0,0,0,0,0,Spain,45,123,66,1,2,30-45,Low,0,0,0,1,1,0,0,1
12510546,1962,PhD,Single,29942.1,0,1,2013-02-02,32,24,0,205,13,0,1,2,7,7,6,6,0,0,0,1,0,0,0,Spain,52,512,243,22,1,46-60,Low,0,0,0,1,1,0,0,1
6362038,1990,Graduation,Married,86298.8,0,0,2013-07-09,99,63,23,211,9,0,56,1,4,1,4,8,0,1,0,0,0,0,0,India,24,355,362,10,0,Under 30,High,1,1,0,1,0,0,0,1
3362301,1956,Graduation,Single,106642.7,0,1,2013-09-04,41,8,21,60,25,26,114,1,2,2,5,7,0,0,0,0,0,0,0,Germany,58,298,254,10,1,46-60,Very High,1,0,0,1,1,0,0,1
6150043,1968,Graduation,Married,21316.7,1,0,2014-02-28,81,52,46,51,1,5,0,4,7,2,6,7,0,0,0,1,0,0,0,Saudi Arabia,46,121,155,19,1,46-60,Low,0,0,0,1,1,0,0,1
